sFayHCmedi,Chromosome,start,end,pFayHCmedi,FayHCmedi,genes
p14c1.10,1,107815000,116865000,0.03426446850862756,0.025346758303687426,"SLC25A24, NBPF4, NBPF6, FAM102B, HENMT1, PRPF38B, FNDC7, STXBP3, AKNAD1, GPSM2, CLCC1, WDR47, TAF13, TMEM167B, C1orf194, ELAPOR1, SARS1, CELSR2, PSRC1, MYBPHL, SORT1, PSMA5, SYPL2, ATXN7L2, CYB561D1, AMIGO1, GPR61, GNAI3, GNAT2, AMPD2, GSTM4, GSTM2, GSTM1, GSTM5, GSTM3, EPS8L3, CSF1, AHCYL1, STRIP1, ALX3, UBL4B, SLC6A17, KCNC4, RBM15, SLC16A4, LAMTOR5, PROK1, KCNA10, KCNA2, KCNA3, CD53, LRIF1, DRAM2, CEPT1, DENND2D, CHI3L2, CHIA, PIFO, OVGP1, WDR77, ATP5PB, C1orf162, TMIGD3, ADORA3, RAP1A, INKA2, DDX20, KCND3, CTTNBP2NL, WNT2B, ST7L, CAPZA1, MOV10, RHOC, PPM1J, TAFA3, SLC16A1, LRIG2, MAGI3, PHTF1, RSBN1, PTPN22, BCL2L15, AP4B1, DCLRE1B, HIPK1, OLFML3, SYT6, TRIM33, BCAS2, DENND2C, AMPD1, NRAS, CSDE1, SIKE1, SYCP1, TSHB, TSPAN2, NGF, VANGL1, CASQ2, NHLH2, SLC22A15, MAB21L3, ATP1A1, CD58, IGSF3, CD2"
p14c1.11,1,116860000,117025000,0.9998804102516823,0.3282345697878575,"PTGFRN, CD101"
p14c1.12,1,117020000,175910000,0.17424206128122116,0.03698816176264141,"TTF2, TRIM45, VTCN1, MAN1A2, TENT5C, GDAP2, WDR3, SPAG17, TBX15, WARS2, HAO2, HSD3B2, HSD3B1, ZNF697, PHGDH, HMGCS2, REG4, ADAM30, NOTCH2, SEC22B, PPIAL4A, FAM72B, SRGAP2C, FAM72C, PPIAL4E, NBPF15, PPIAL4F, SRGAP2B, FAM72D, PPIAL4D, NBPF20, GPR89A, PDZK1, CD160, RNF115, POLR3C, NUDT17, PIAS3, ANKRD35, ITGA10, PEX11B, RBM8A, LIX1L, POLR3GL, ANKRD34A, TXNIP, HJV, NBPF10, NOTCH2NLA, NBPF12, PRKAB2, CHD1L, FMO5, BCL9, ACP6, GJA5, GJA8, GPR89B, NBPF11, PPIAL4G, NOTCH2NLB, NUDT4B, PDE4DIP, NBPF9, NOTCH2NLC, NBPF19, PPIAL4C, H2BC18, FCGR1A, H3C13, H4C14, H3C14, H2AC18, H2AC19, H3C15, H4C15, H2BC21, H2AC20, H2AC21, BOLA1, SV2A, SF3B4, MTMR11, OTUD7B, VPS45, PLEKHO1, ANP32E, CA14, APH1A, C1orf54, CIART, MRPS21, PRPF3, RPRD2, TARS2, ECM1, ADAMTSL4, MCL1, ENSA, GOLPH3L, HORMAD1, CTSS, CTSK, ARNT, SETDB1, CERS2, ANXA9, MINDY1, PRUNE1, BNIPL, C1orf56, CDC42SE1, MLLT11, GABPB2, SEMA6C, LYSMD1, TNFAIP8L2, SCNM1, TMOD4, VPS72, PIP5K1A, PSMD4, ZNF687, PI4KB, RFX5, SELENBP1, PSMB4, POGZ, CGN, TUFT1, SNX27, CELF3, RIIAD1, MRPL9, OAZ3, TDRKH, LINGO4, RORC, C2CD4D, THEM5, THEM4, S100A10, S100A11, TCHHL1, TCHH, RPTN, HRNR, FLG, FLG2, CRNN, LCE5A, CRCT1, LCE3E, LCE3D, LCE3C, LCE3B, LCE3A, LCE2D, LCE2C, LCE2B, LCE2A, LCE4A, C1orf68, KPRP, LCE1F, LCE1E, LCE1D, LCE1C, LCE1B, LCE1A, LCE6A, SMCP, IVL, SPRR4, SPRR1A, SPRR3, SPRR1B, SPRR2D, SPRR2A, SPRR2B, SPRR2E, SPRR2F, SPRR2G, LELP1, PRR9, LORICRIN, PGLYRP3, PGLYRP4, S100A9, S100A12, S100A8, S100A7A, S100A7, S100A6, S100A5, S100A4, S100A3, S100A2, S100A16, S100A14, S100A13, S100A1, CHTOP, SNAPIN, ILF2, NPR1, INTS3, SLC27A3, GATAD2B, DENND4B, CRTC2, SLC39A1, CREB3L4, JTB, RAB13, RPS27, NUP210L, TPM3, C1orf189, C1orf43, UBAP2L, HAX1, AQP10, ATP8B2, IL6R, SHE, TDRD10, UBE2Q1, CHRNB2, ADAR, KCNN3, PMVK, PBXIP1, PYGO2, SHC1, CKS1B, FLAD1, LENEP, ZBTB7B, DCST2, DCST1, ADAM15, EFNA4, EFNA3, EFNA1, SLC50A1, DPM3, KRTCAP2, TRIM46, MUC1, THBS3, MTX1, GBA, FAM189B, SCAMP3, CLK2, HCN3, PKLR, FDPS, RUSC1, ASH1L, MSTO1, YY1AP1, DAP3, GON4L, SYT11, RIT1, KHDC4, RXFP4, ARHGEF2, SSR2, UBQLN4, LAMTOR2, RAB25, MEX3A, LMNA, SEMA4A, SLC25A44, PMF1, BGLAP, PAQR6, SMG5, TMEM79, GLMP, CCT3, TSACC, RHBG, MEF2D, IQGAP3, TTC24, NAXE, GPATCH4, HAPLN2, BCAN, NES, CRABP2, ISG20L2, RRNAD1, MRPL24, HDGF, PRCC, SH2D2A, NTRK1, INSRR, PEAR1, LRRC71, ARHGEF11, ETV3L, ETV3, FCRL5, FCRL4, FCRL3, FCRL2, FCRL1, CD5L, KIRREL1, CD1D, CD1A, CD1B, CD1C, CD1E, OR10T2, OR10K2, OR10K1, OR10R2, OR6Y1, OR6P1, OR10Z1, SPTA1, OR6K2, OR6K3, OR6K6, OR6N1, OR6N2, MNDA, PYHIN1, IFI16, AIM2, CADM3, ACKR1, FCER1A, OR10J3, OR10J1, OR10J5, APCS, CRP, DUSP23, FCRL6, SLAMF8, VSIG8, CFAP45, TAGLN2, IGSF9, SLAMF9, PIGM, KCNJ10, KCNJ9, IGSF8, ATP1A2, ATP1A4, CASQ1, PEA15, DCAF8, PEX19, COPA, NCSTN, NHLH1, VANGL2, SLAMF6, CD84, SLAMF1, CD48, SLAMF7, LY9, CD244, ITLN1, ITLN2, F11R, TSTD1, USF1, ARHGAP30, NECTIN4, KLHDC9, PFDN2, NIT1, DEDD, UFC1, USP21, PPOX, B4GALT3, ADAMTS4, NDUFS2, FCER1G, APOA2, TOMM40L, NR1I3, PCP4L1, MPZ, SDHC, CFAP126, FCGR2A, HSPA6, FCGR3A, FCGR3B, FCGR2B, FCRLA, FCRLB, DUSP12, ATF6, OLFML2B, NOS1AP, SPATA46, C1orf226, SH2D1B, UHMK1, UAP1, DDR2, HSD17B7, CCDC190, RGS4, RGS5, NUF2, PBX1, LMX1A, RXRG, LRRC52, MGST3, ALDH9A1, TMCO1, UCK2, FAM78B, POGK, TADA1, ILDR2, MAEL, GPA33, STYXL2, POU2F1, CD247, CREG1, RCSD1, MPZL1, ADCY10, MPC2, DCAF6, GPR161, TIPRL, SFT2D2, TBX19, XCL2, XCL1, DPT, ATP1B1, NME7, BLZF1, CCDC181, SLC19A2, F5, SELP, SELL, SELE, METTL18, C1orf112, SCYL3, KIFAP3, METTL11B, GORAB, PRRX1, MROH9, FMO3, FMO2, FMO1, FMO4, PRRC2C, MYOC, VAMP4, EEF1AKNMT, DNM3, C1orf105, PIGC, SUCO, FASLG, TNFSF18, TNFSF4, PRDX6, SLC9C2, TEX50, ANKRD45, KLHL20, CENPL, DARS2, ZBTB37, SERPINC1, RC3H1, RABGAP1L, GPR52, CACYBP, MRPS14, TNN, KIAA0040, TNR"
p14c1.13,1,175905000,176175000,6.704522461646717e-08,-0.2501130401436384,COP1
p14c1.14,1,176170000,186410000,0.5693417784422716,0.049358521915229076,"PAPPA2, ASTN1, BRINP2, SEC16B, RASAL2, TEX35, RALGPS2, ANGPTL1, FAM20B, TOR3A, ABL2, SOAT1, AXDND1, NPHS2, TDRD5, FAM163A, TOR1AIP2, TOR1AIP1, CEP350, QSOX1, LHX4, ACBD6, XPR1, KIAA1614, STX6, MR1, IER5, CACNA1E, ZNF648, GLUL, TEDDM1, RGSL1, RNASEL, RGS16, RGS8, NPL, DHX9, SHCBP1L, LAMC1, LAMC2, NMNAT2, SMG7, NCF2, ARPC5, RGL1, APOBEC4, COLGALT2, TSEN15, C1orf21, EDEM3, NIBAN1, RNF2, TRMT1L, SWT1, IVNS1ABP, HMCN1, PRG4, TPR, ODR4"
p14c1.15,1,186405000,186775000,0.9949626680669031,0.2097171812479234,"PDC, PTGS2"
p14c1.16,1,186770000,188775000,0.043843264589664026,-0.000344067001648538,PLA2G4A
p14c1.17,1,188770000,188915000,0.9999999999999991,0.5646703508987581,
p14c1.18,1,188910000,196185000,0.520427172674824,0.03865423903084333,"BRINP3, RGS18, RGS21, RGS1, RGS13, RGS2, UCHL5, RO60, GLRX2, CDC73, B3GALT2"
p14c1.19,1,196180000,196660000,0.9990833824914803,0.2241092035955029,"KCNT2, CFH"
p14c1.20,1,196655000,206120000,0.08414064650482095,0.031243782284947796,"CFHR3, CFHR1, CFHR4, CFHR2, CFHR5, F13B, ASPM, ZBTB41, CRB1, DENND1B, C1orf53, LHX9, NEK7, ATP6V1G3, PTPRC, NR5A2, ZNF281, KIF14, DDX59, CAMSAP2, GPR25, INAVA, KIF21B, CACNA1S, ASCL5, TMEM9, IGFN1, PKP1, TNNT2, LAD1, TNNI1, PHLDA3, CSRP1, NAV1, IPO9, SHISA4, LMOD1, TIMM17A, RNPEP, ELF3, GPR37L1, ARL8A, PTPN7, LGR6, UBE2T, PPP1R12B, SYT2, KDM5B, RABIF, KLHL12, ADIPOR1, CYB5R1, TMEM183A, MYOG, ADORA1, MYBPH, CHI3L1, CHIT1, BTG2, FMOD, PRELP, OPTC, ATP2B4, LAX1, ZC3H11A, ZBED6, SNRPE, SOX13, ETNK2, REN, KISS1, GOLT1A, PLEKHA6, PPP1R15B, PIK3C2B, MDM4, LRRN2, NFASC, CNTN2, TMEM81, RBBP5, DSTYK, TMCC2, NUAK2, KLHDC8A, LEMD1, CDK18, MFSD4A, ELK4, SLC45A3, NUCKS1, RAB29, SLC41A1, PM20D1, SLC26A9, RAB7B, CTSE, RHEX, AVPR1B"
p14c1.21,1,206115000,206615000,0.9999693929151383,0.2518462232114758,"FAM72A, SRGAP2, IKBKE, RASSF5, EIF2D"
p14c1.22,1,206610000,215480000,0.05895784835966909,0.037758397655348795,"DYRK3, MAPKAPK2, IL10, IL19, IL20, IL24, FCMR, PIGR, FCAMR, C1orf116, YOD1, PFKFB2, C4BPB, C4BPA, CD55, CR2, CR1, CR1L, CD46, CD34, PLXNA2, CAMK1G, LAMB3, G0S2, HSD11B1, TRAF3IP3, C1orf74, IRF6, UTP25, SYT14, SERTAD4, HHAT, KCNH1, RCOR3, TRAF5, RD3, SLC30A1, NEK2, LPGAT1, INTS7, DTL, PPP2R5A, PACC1, NENF, ATF3, FAM71A, BATF3, NSL1, TATDN3, SPATA45, FLVCR1, VASH2, ANGEL2, RPS6KC1, PROX1, SMYD2, PTPN14, CENPF, KCNK2"
p14c1.23,1,215475000,215580000,0.9999999929838502,0.4473347600518028,KCTD3
p14c1.24,1,215575000,247855000,0.5462587708834651,0.04466846659038885,"USH2A, ESRRG, GPATCH2, SPATA17, RRP15, TGFB2, LYPLAL1, ZC3H11B, SLC30A10, EPRS1, BPNT1, IARS2, RAB3GAP2, MARK1, C1orf115, MTARC2, MTARC1, HLX, DUSP10, HHIPL2, TAF1A, MIA3, AIDA, BROX, FAM177B, DISP1, TLR5, SUSD4, CCDC185, CAPN8, CAPN2, TP53BP2, FBXO28, DEGS1, NVL, CNIH4, WDR26, CNIH3, DNAH14, LBR, ENAH, SRP9, EPHX1, TMEM63A, LEFTY1, PYCR2, LEFTY2, SDE2, H3-3A, ACBD3, MIXL1, LIN9, PARP1, STUM, ITPKB, PSEN2, COQ8A, CDC42BPA, SNAP47, JMJD4, PRSS38, WNT9A, WNT3A, ARF1, C1orf35, MRPL55, GUK1, GJC2, IBA57, OBSCN, TRIM11, TRIM17, H3-4, H2AW, H2BU1, RNF187, RHOU, RAB4A, CCSAP, ACTA1, NUP133, ABCB10, TAF5L, URB2, GALNT2, PGBD5, COG2, AGT, CAPN9, C1orf198, TTC13, ARV1, FAM89A, TRIM67, C1orf131, GNPAT, EXOC8, SPRTN, EGLN1, TSNAX, DISC1, SIPA1L2, MAP10, NTPCR, PCNX2, MAP3K21, KCNK1, SLC35F3, COA6, TARBP1, IRF2BP2, TOMM20, RBM34, ARID4B, GGPS1, TBCE, B3GALNT2, GNG4, LYST, NID1, GPR137B, ERO1B, EDARADD, LGALS8, HEATR1, ACTN2, MTR, MT1HL1, RYR2, ZP4, CHRM3, FMN2, GREM2, RGS7, FH, KMO, OPN3, CHML, EXO1, BECN2, MAP1LC3C, PLD5, CEP170, SDCCAG8, AKT3, ZBTB18, C1orf100, ADSS2, CATSPERE, DESI2, COX20, HNRNPU, EFCAB2, KIF26B, SMYD3, TFB2M, CNST, SCCPDH, AHCTF1, ZNF695, ZNF670, ZNF669, ZNF124, VN1R5, ZNF496, NLRP3, OR2B11, GCSAML, OR2C3, OR2G2, OR2G3, OR13G1, OR6F1, OR14A2, OR14K1, OR1C1, OR14A16, OR11L1"
p14c1.25,1,247850000,249225000,0.9957655702323281,0.17512722754936877,"TRIM58, OR2W3, OR2T8, OR2L13, OR2AK2, OR2L5, OR2L2, OR2L3, OR2M5, OR2M2, OR2M3, OR2M4, OR2T33, OR2T12, OR2M7, OR14C36, OR2T4, OR2T6, OR2T1, OR2T2, OR2T3, OR2T5, OR2G6, OR2T29, OR2T34, OR2T10, OR2T35, OR2T27, OR14I1, LYPD8, SH3BP5L, ZNF672, ZNF692, PGBD2"
p14c2.0,2,10000,21680000,0.553968524023731,0.04140719918590197,"FAM110C, SH3YL1, ACP1, ALKAL2, TMEM18, SNTG2, TPO, PXDN, MYT1L, EIPR1, TRAPPC12, ADI1, RNASEH1, RPS7, COLEC11, ALLC, DCDC2C, SOX11, CMPK2, RSAD2, RNF144A, ID2, KIDINS220, MBOAT2, ASAP2, ITGB1BP1, CPSF3, IAH1, ADAM17, YWHAQ, TAF1B, GRHL1, KLF11, CYS1, RRM2, HPCAL1, ODC1, NOL10, ATP6V1C2, PDIA6, KCNF1, C2orf50, SLC66A3, ROCK2, E2F6, GREB1, NTSR2, LPIN1, TRIB2, LRATD1, NBAS, DDX1, MYCN, CYRIA, RAD51AP2, VSNL1, SMC6, GEN1, MSGN1, KCNS3, RDH14, NT5C1B, OSR1, TTC32, WDR35, MATN3, LAPTM4A, SDC1, PUM2, RHOB, HS1BP3, GDF7, LDAH, APOB, TDRD15"
p14c2.1,2,21675000,22005000,0.9999986527257999,0.28744662706211144,
p14c2.2,2,22000000,22195000,0.04899235503295731,-0.05004206600015757,
p14c2.3,2,22190000,22370000,0.9999987893543338,0.32077363014470617,
